budget,runtime,vote_average,vote_count,popularity,release_year,release_month,primary_genre,lead_actor,director,production_company,release_season,budget_per_minute,vote_weighted_score,budget_log,popularity_log,revenue,roi
24000000,135.0,7.3,397.0,5.951077,1995,5,Drama,Meryl Streep,Clint Eastwood,Amblin Entertainment,Spring,177777.77777777778,43.701099638576395,16.993564429978885,1.938896611599793,182016617.0,6.584025708333333
72000000,177.0,7.7,3404.0,20.755149,1995,5,Action,Mel Gibson,Mel Gibson,Icon Entertainment International,Spring,406779.66101694916,62.62410168309382,18.09217669086922,3.079850465149419,210000000.0,1.9166666666666667
7500000,91.0,6.5,245.0,12.314278,1995,1,Crime,Jackie Chan,Stanley Tong,New Line Cinema,Winter,82417.58241758242,35.78465498356036,15.830413711839864,2.5888369932369226,32392047.0,3.3189396
25000000,113.0,5.1,7.0,1.522412,1995,9,Comedy,Andy García,Andrew Davis,Savoy Pictures,Fall,221238.93805309734,10.605151862567162,17.034386422832473,0.9252155866113274,6278139.0,-0.74887444
40000000,117.0,5.4,139.0,6.506983,1992,6,Comedy,Eddie Murphy,Reginald Hudlin,Paramount Pictures,Summer,341880.3418803419,26.68486908209024,17.50439003707821,2.0158336540352173,70100000.0,0.7525
7000000,92.0,6.3,66.0,5.579088,1996,3,Comedy,Ben Stiller,David O. Russell,Miramax Films,Spring,76086.95652173914,26.489563502163083,15.76142084987672,1.8838961339073972,14702438.0,1.1003482857142857
50000000,95.0,5.1,45.0,11.418917,1995,10,Action,David Caruso,William Friedkin,Paramount Pictures,Fall,526315.7894736842,19.526071122094383,17.72753358339242,2.519220874635727,9851610.0,-0.8029678
31000000,117.0,6.7,303.0,6.49968,1996,3,Comedy,Robin Williams,Mike Nichols,United Artists,Spring,264957.26495726494,38.30408559942169,17.249497794707484,2.01486035296535,185260553.0,4.976146870967742
19000000,118.0,6.5,1729.0,9.262184,1995,4,Action,Will Smith,Michael Bay,Columbia Pictures,Spring,161016.94915254237,48.46319846869686,16.759949589762293,2.328465682587054,141407024.0,6.442474947368421
4000000,113.0,6.0,11.0,0.922958,1995,7,Romance,Alan Rickman,Mike Newell,Fine Line Features,Summer,35398.23008849558,14.909439898728003,15.201805169084134,0.6538646254944923,851545.0,-0.78711375
